country,year,sex,age,suicides_no,population,rate
Denmark,2007,female,35-54 years,71,768072,9.243925049
Denmark,2007,female,5-14 years,0,334828,0
Denmark,2007,female,55-74 years,55,606387,9.070115289
Denmark,2007,female,75+ years,33,235854,13.99170673
Denmark,2007,male,15-24 years,15,320054,4.686709118
Denmark,2007,male,25-34 years,56,347246,16.12689563
Denmark,2007,male,35-54 years,145,786990,18.42463055
Denmark,2007,male,5-14 years,2,351664,0.568724692
Denmark,2007,male,55-74 years,124,584457,21.21627425
Denmark,2007,male,75+ years,59,146309,40.32561223
Denmark,2008,female,15-24 years,8,315514,2.535545174
Denmark,2008,female,25-34 years,9,338992,2.65492991
Denmark,2008,female,35-54 years,76,770688,9.861318718
Denmark,2008,female,5-14 years,2,332388,0.601706439
Denmark,2008,female,55-74 years,63,616691,10.21581311
Denmark,2008,female,75+ years,27,235396,11.47003348
Denmark,2008,male,15-24 years,30,330409,9.079655821
Denmark,2008,male,25-34 years,48,341329,14.06267853
Denmark,2008,male,35-54 years,150,788890,19.01405773
Denmark,2008,male,5-14 years,1,349108,0.286444309
Denmark,2008,male,55-74 years,127,595286,21.33428302
Denmark,2008,male,75+ years,62,147834,41.9389315
Denmark,2009,female,15-24 years,4,324876,1.231238996
Denmark,2009,female,25-34 years,13,334052,3.89160969
Denmark,2009,female,35-54 years,43,773415,5.559757698
Denmark,2009,female,5-14 years,1,330729,0.302362357
Denmark,2009,female,55-74 years,52,625986,8.306895042
Denmark,2009,female,75+ years,32,235213,13.60469022
Denmark,2009,male,15-24 years,24,340143,7.055855919
Denmark,2009,male,25-34 years,36,335963,10.71546569
Denmark,2009,male,35-54 years,186,790578,23.52709031
Denmark,2009,male,5-14 years,2,347259,0.575938997
Denmark,2009,male,55-74 years,165,604423,27.29876262
Denmark,2009,male,75+ years,64,150153,42.62319101
Denmark,2010,female,15-24 years,10,333696,2.996739547
Denmark,2010,female,25-34 years,6,327722,1.830820024
Denmark,2010,female,35-54 years,64,776699,8.240000309
Denmark,2010,female,5-14 years,0,327790,0
Denmark,2010,female,55-74 years,56,634607,8.824359013
Denmark,2010,female,75+ years,22,236409,9.30590629
Denmark,2010,male,15-24 years,17,349175,4.868618887
Denmark,2010,male,25-34 years,43,329780,13.03899569
Denmark,2010,male,35-54 years,142,791338,17.94429182
Denmark,2010,male,5-14 years,0,344105,0
Denmark,2010,male,55-74 years,142,613233,23.15596193
Denmark,2010,male,75+ years,61,153231,39.80917699
Denmark,2011,female,15-24 years,11,340056,3.234761333
Denmark,2011,female,25-34 years,12,323639,3.707834964
Denmark,2011,female,35-54 years,50,778373,6.423655497
Denmark,2011,female,5-14 years,0,326359,0
Denmark,2011,female,55-74 years,57,643276,8.860893302
Denmark,2011,female,75+ years,22,237867,9.248865963
Denmark,2011,male,15-24 years,26,356319,7.296832333
Denmark,2011,male,25-34 years,35,326633,10.71539006
Denmark,2011,male,35-54 years,189,791137,23.88966766
Denmark,2011,male,5-14 years,0,341776,0
Denmark,2011,male,55-74 years,139,621859,22.35233389
Denmark,2011,male,75+ years,48,156856,30.60131586
Denmark,2012,female,15-24 years,8,346154,2.311110084
Denmark,2012,female,25-34 years,11,322504,3.410810409
Denmark,2012,female,35-54 years,58,776419,7.470193285
Denmark,2012,female,5-14 years,0,324455,0
Denmark,2012,female,55-74 years,71,651381,10.89991879
Denmark,2012,female,75+ years,19,240759,7.891709137
Denmark,2012,male,15-24 years,33,362466,9.104302197
Denmark,2012,male,25-34 years,31,326746,9.487491813
Denmark,2012,male,35-54 years,209,788215,26.51560805
Denmark,2012,male,5-14 years,1,340022,0.294098617
Denmark,2012,male,55-74 years,153,630159,24.27958658
Denmark,2012,male,75+ years,67,161259,41.54806863
Denmark,2013,female,15-24 years,12,350607,3.422635601
Denmark,2013,female,25-34 years,16,322819,4.956337762
Denmark,2013,female,35-54 years,54,775088,6.966950849
Denmark,2013,female,5-14 years,1,324362,0.308297519
Denmark,2013,female,55-74 years,52,658936,7.891509949
Denmark,2013,female,75+ years,25,243880,10.25094309
Denmark,2013,male,15-24 years,23,367000,6.267029973
Denmark,2013,male,25-34 years,33,328192,10.0550897
Denmark,2013,male,35-54 years,174,785198,22.16001569
Denmark,2013,male,5-14 years,1,339830,0.294264779
Denmark,2013,male,55-74 years,157,637775,24.61683195
Denmark,2013,male,75+ years,62,166011,37.34692279
Denmark,2014,female,15-24 years,7,354099,1.976848283
Denmark,2014,female,25-34 years,7,325866,2.148122234
Denmark,2014,female,35-54 years,59,774379,7.619008263
Denmark,2014,female,5-14 years,1,323749,0.308881263
Denmark,2014,female,55-74 years,50,666386,7.50315883
Denmark,2014,female,75+ years,36,248889,14.46427926
Denmark,2014,male,15-24 years,31,370570,8.365491
Denmark,2014,male,25-34 years,43,333712,12.88536223
Denmark,2014,male,35-54 years,178,784300,22.69539717
Denmark,2014,male,5-14 years,1,340065,0.294061429
Denmark,2014,male,55-74 years,155,645001,24.03097049
Denmark,2014,male,75+ years,61,172150,35.43421435
Denmark,2015,female,15-24 years,6,356882,1.681227969
Denmark,2015,female,25-34 years,15,331400,4.526252263
Denmark,2015,female,35-54 years,51,772844,6.599003162
Denmark,2015,female,5-14 years,3,323821,0.926437754
Denmark,2015,female,55-74 years,67,673655,9.945743741
Denmark,2015,female,75+ years,32,253300,12.63324122
Denmark,2015,male,15-24 years,18,374051,4.812178019
