country,year,sex,age,suicides_no,population,rate,Region
Antigua and Barbuda,1993,male,55-74 years,0,2879,0,Central America
Antigua and Barbuda,1993,male,75+ years,0,896,0,Central America
Antigua and Barbuda,1994,female,15-24 years,0,6083,0,Central America
Antigua and Barbuda,1994,female,25-34 years,0,7151,0,Central America
Antigua and Barbuda,1994,female,35-54 years,0,7357,0,Central America
Antigua and Barbuda,1994,female,5-14 years,0,7722,0,Central America
Antigua and Barbuda,1994,female,55-74 years,0,3715,0,Central America
Antigua and Barbuda,1994,female,75+ years,0,1437,0,Central America
Antigua and Barbuda,1994,male,15-24 years,0,5976,0,Central America
Antigua and Barbuda,1994,male,25-34 years,0,6886,0,Central America
Antigua and Barbuda,1994,male,35-54 years,0,7359,0,Central America
Antigua and Barbuda,1994,male,5-14 years,0,7494,0,Central America
Antigua and Barbuda,1994,male,55-74 years,0,2935,0,Central America
Antigua and Barbuda,1994,male,75+ years,0,929,0,Central America
Antigua and Barbuda,1995,female,15-24 years,0,6099,0,Central America
Antigua and Barbuda,1995,female,25-34 years,0,7333,0,Central America
Antigua and Barbuda,1995,female,35-54 years,0,7851,0,Central America
Antigua and Barbuda,1995,female,5-14 years,0,7885,0,Central America
Antigua and Barbuda,1995,female,55-74 years,0,3808,0,Central America
Antigua and Barbuda,1995,female,75+ years,0,1488,0,Central America
Antigua and Barbuda,1995,male,15-24 years,0,5953,0,Central America
Antigua and Barbuda,1995,male,25-34 years,0,7023,0,Central America
Antigua and Barbuda,1995,male,35-54 years,0,7809,0,Central America
Antigua and Barbuda,1995,male,5-14 years,0,7632,0,Central America
Antigua and Barbuda,1995,male,55-74 years,0,3021,0,Central America
Antigua and Barbuda,1995,male,75+ years,0,944,0,Central America
Antigua and Barbuda,1998,female,15-24 years,0,6529,0,Central America
Antigua and Barbuda,1998,female,25-34 years,0,8332,0,Central America
Antigua and Barbuda,1998,female,35-54 years,0,9615,0,Central America
Antigua and Barbuda,1998,female,5-14 years,0,8183,0,Central America
Antigua and Barbuda,1998,female,55-74 years,0,3921,0,Central America
Antigua and Barbuda,1998,female,75+ years,0,1476,0,Central America
